refDate,group,volumeIndex,yoyChange
2020-05-01,Furniture and Fixtures,62.2,-35.94232749742533
2020-06-01,Furniture and Fixtures,78.7,-18.36099585062241
2020-07-01,Furniture and Fixtures,90.2,-9.799999999999997
2020-08-01,Furniture and Fixtures,93.5,-3.1088082901554404
2020-09-01,Furniture and Fixtures,101.6,7.3995771670190225
2020-10-01,Furniture and Fixtures,107.6,14.34643995749203
2020-11-01,Furniture and Fixtures,109.6,19.912472647702394
2020-12-01,Furniture and Fixtures,114.6,22.961373390557927
2021-01-01,Furniture and Fixtures,114.1,19.351464435146436
2021-02-01,Furniture and Fixtures,102.4,10.942578548212367
2021-03-01,Furniture and Fixtures,118.3,56.6887417218543
2021-04-01,Furniture and Fixtures,114.2,83.01282051282053
2021-05-01,Furniture and Fixtures,115.6,85.85209003215432
2021-06-01,Furniture and Fixtures,107.0,35.95933926302415
2021-07-01,Furniture and Fixtures,94.5,4.7671840354767125
2021-08-01,Furniture and Fixtures,105.2,12.513368983957228
2021-09-01,Furniture and Fixtures,109.2,7.48031496062993
2021-10-01,Furniture and Fixtures,108.5,0.8364312267657992
2021-11-01,Furniture and Fixtures,97.1,-11.40510948905109
2021-12-01,Furniture and Fixtures,106.8,-6.806282722513091
2022-01-01,Furniture and Fixtures,101.0,-11.481156879929877
2022-02-01,Furniture and Fixtures,98.3,-4.003906250000011
2022-03-01,Furniture and Fixtures,111.7,-5.579036348267108
2022-04-01,Furniture and Fixtures,124.9,9.369527145359013
2022-05-01,Furniture and Fixtures,114.1,-1.2975778546712835
2022-06-01,Furniture and Fixtures,113.9,6.448598130841132
2022-07-01,Furniture and Fixtures,115.3,22.010582010582013
2022-08-01,Furniture and Fixtures,113.9,8.269961977186323
2022-09-01,Furniture and Fixtures,100.0,-8.424908424908429
2022-10-01,Furniture and Fixtures,98.3,-9.400921658986183
2022-11-01,Furniture and Fixtures,96.7,-0.4119464469618861
2022-12-01,Furniture and Fixtures,89.3,-16.38576779026217
2023-01-01,Furniture and Fixtures,91.8,-9.108910891089117
2023-02-01,Furniture and Fixtures,90.3,-8.138351983723291
2023-03-01,Furniture and Fixtures,82.7,-25.96239928379588
2023-04-01,Furniture and Fixtures,86.4,-30.824659727782223
2023-05-01,Furniture and Fixtures,87.7,-23.137598597721286
2023-06-01,Furniture and Fixtures,88.8,-22.036874451273047
2023-07-01,Furniture and Fixtures,84.4,-26.799653078924536
2023-08-01,Furniture and Fixtures,86.3,-24.231782265144876
2023-09-01,Furniture and Fixtures,92.1,-7.9000000000000075
2023-10-01,Furniture and Fixtures,90.6,-7.833163784333674
2023-11-01,Furniture and Fixtures,94.6,-2.171664943123075
2023-12-01,Furniture and Fixtures,98.7,10.526315789473696
2024-01-01,Furniture and Fixtures,91.0,-0.8714596949891074
2024-02-01,Furniture and Fixtures,95.9,6.20155038759691
2024-03-01,Furniture and Fixtures,95.8,15.840386940749696
2024-04-01,Furniture and Fixtures,90.5,4.745370370370372
2024-05-01,Furniture and Fixtures,88.5,0.9122006841504993
2024-06-01,Furniture and Fixtures,90.2,1.5765765765765938
